sr_no,year,country,region,artist,song,artist_gender,group_solo,place,points,home_away_country,home_away_region,is_final,semi_final_number,song_in_english,song_quality,normalized_points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,happiness,decade,is_winner,top_3,top_10
367,2010,United Kingdom,Independent,Josh Dubovie,That Sounds Good to Me,,,25,10,Away,Away,1,,1,0.402620083724791,0.00442673749446658,0.754601800116072,185.43129,0.0141193275652484,0.627278761572263,124.016,0.0283647003634989,7.0,0.057201993879761,4.0,1.0,-6.183,0.576039491793469,5.6330666666700004,2010,False,False,False
368,2009,Montenegro,Former Yugoslavia,Andrea Demirovi?,Just Get Out of My Life,,,11,44,Away,Away,0,1.0,1,2.44414651889177,0.0379310344827586,0.898050027921779,182.47946,0.0105183702704397,0.560551091830824,137.75,0.0443178949412203,7.0,0.358420364364056,4.0,0.0,-4.023,0.678059454194437,,2000,False,False,False
369,2009,Czech Republic,Former Socialist Bloc,Gipsy.cz,Aven Romale,,,18,0,Away,Home,0,1.0,1,-0.0360328943462254,0.0,0.825303184189731,164.93333,0.28452593449608,0.817200125443976,77.079,0.505106924551699,10.0,0.223947585691721,4.0,1.0,-7.506,0.743306050519536,,2000,False,False,False
370,2009,Belgium,Western Europe,Patrick Ouch_ne,Copycat,,,17,1,Away,Away,0,1.0,1,0.0564012329815914,0.000862068965517241,,,,,,,,,,,,,,2000,False,False,False
371,2009,Belarus,Former Socialist Bloc,Petr Elfimov,Eyes That Never Lie,,,13,25,Away,Home,0,1.0,1,1.97018958739618,0.021551724137931,0.902324575396857,182.16599,0.00888436484661814,0.392823830491101,137.918,0.0514843300113713,2.0,0.349443446268677,4.0,0.0,-3.808,0.327345213829198,,2000,False,False,False
372,2009,Sweden,Scandinavia,Malena Ernman,La voix,Female,Solo,4,105,Away,Away,0,1.0,1,5.69079174921015,0.0905172413793103,0.672745987334615,178.4566,0.119194331013219,0.513201683978439,128.021,0.0348545662873757,10.0,0.143707678919496,4.0,1.0,-4.536,0.206492785923228,5.50269230769,2000,False,False,True
373,2009,Armenia,Former Socialist Bloc,Inga and Anush,Jan Jan,Female,Group,5,99,Away,Home,0,1.0,1,5.79675387929869,0.0853448275862069,0.86809788720474,181.97333,0.368220787052183,0.691723299868364,86.271,0.0997431333217887,4.0,0.356401741372898,3.0,0.0,-4.061,0.736495474975287,,2000,False,False,True
374,2009,Andorra,Western Europe,Susanne Georgi,La teva decisi¢ (Get a Life),,,15,8,Away,Away,0,1.0,1,0.582722894881139,0.00689655172413793,0.581341640569064,174.77333,0.00878908978616607,0.817003177838768,133.014,0.0403305491486288,2.0,0.0588143549654756,4.0,1.0,-6.7,0.69250405011085,,2000,False,False,False
375,2009,Switzerland,Western Europe,Lovebugs,The Highest Heights,,,14,15,Away,Away,0,1.0,1,0.753150702823069,0.0129310344827586,0.920504083689724,168.24272,0.0370713446570326,0.448529514653684,117.982,0.0389839444853352,2.0,0.282262181481048,4.0,0.0,-4.374,0.406762484974421,,2000,False,False,False
376,2009,Turkey,Independent,Hadise,Dm Tek Tek,Female,Solo,2,172,Away,Away,0,1.0,1,8.61374658325272,0.148275862068966,0.793613277938689,185.34168,0.574425735974623,0.831569185491883,114.982,0.0363099787851114,10.0,0.0622175119335634,4.0,1.0,-6.503,0.772847844225027,,2000,False,True,True
